score_id,prediction_id,event_id,theory_key,theory_name,horizon,predicted_direction,realized_direction,is_flat,is_win,is_foreign_event,scored_at
3e7d58b0-bb4c-44,46979189-5cb9-47,64ecf031f7470b44,agency_ceo,Agency Theory (CEO Turnover),10,positive,neutral,True,False,False,2026-06-21T17:25:01.284873Z
a29d3b10-982d-44,45e63839-53c0-47,64ecf031f7470b44,disruption_ceo,Disruption / Instability View (CEO),10,negative,neutral,True,False,False,2026-06-21T17:25:01.284887Z
47f30eb7-8520-47,76e8d100-a26a-46,dd430c105206dd25,upper_echelons,Upper Echelons Theory,3,neutral,negative,False,False,False,2026-06-21T17:25:02.468318Z
384056e4-0393-43,20be13f0-5bc1-49,dd430c105206dd25,agency_ceo,Agency Theory (CEO Turnover),3,positive,negative,False,False,False,2026-06-21T17:25:02.468346Z
d99437cb-b717-4a,e1229f93-d48c-43,dd430c105206dd25,disruption_ceo,Disruption / Instability View (CEO),3,negative,negative,False,True,False,2026-06-21T17:25:02.468363Z
7084c485-741f-43,76e8d100-a26a-46,dd430c105206dd25,upper_echelons,Upper Echelons Theory,10,neutral,negative,False,False,False,2026-06-21T17:25:03.777537Z
d1ed7444-53ca-46,20be13f0-5bc1-49,dd430c105206dd25,agency_ceo,Agency Theory (CEO Turnover),10,positive,negative,False,False,False,2026-06-21T17:25:03.777571Z
582bffa7-8bc7-4d,e1229f93-d48c-43,dd430c105206dd25,disruption_ceo,Disruption / Instability View (CEO),10,negative,negative,False,True,False,2026-06-21T17:25:03.777592Z
17494e0b-3ced-48,8105296a-24b5-42,ef8cd410fe1815b9,upper_echelons,Upper Echelons Theory,3,neutral,positive,False,False,False,2026-06-21T17:25:04.104886Z
f76b9210-659f-47,6e6f5d7f-fda6-48,ef8cd410fe1815b9,agency_ceo,Agency Theory (CEO Turnover),3,positive,positive,False,True,False,2026-06-21T17:25:04.104906Z
96873c55-3dcf-4e,f059bf60-9b6c-40,ef8cd410fe1815b9,disruption_ceo,Disruption / Instability View (CEO),3,negative,positive,False,False,False,2026-06-21T17:25:04.104919Z
a4c984f9-16f3-48,8105296a-24b5-42,ef8cd410fe1815b9,upper_echelons,Upper Echelons Theory,10,neutral,positive,False,False,False,2026-06-21T17:25:05.168939Z
9e93937c-61d3-44,6e6f5d7f-fda6-48,ef8cd410fe1815b9,agency_ceo,Agency Theory (CEO Turnover),10,positive,positive,False,True,False,2026-06-21T17:25:05.168964Z
aa5efedd-6093-42,f059bf60-9b6c-40,ef8cd410fe1815b9,disruption_ceo,Disruption / Instability View (CEO),10,negative,positive,False,False,False,2026-06-21T17:25:05.168981Z
73a2bf24-6888-42,1d7c7d47-6643-45,1b7a21f505d84052,upper_echelons,Upper Echelons Theory,3,neutral,positive,False,False,False,2026-06-21T17:25:06.468626Z
b030196a-c750-41,8267195c-4460-4d,1b7a21f505d84052,agency_ceo,Agency Theory (CEO Turnover),3,positive,positive,False,True,False,2026-06-21T17:25:06.468658Z
ef4a8408-04e2-4b,2fc6558d-dad9-43,1b7a21f505d84052,disruption_ceo,Disruption / Instability View (CEO),3,negative,positive,False,False,False,2026-06-21T17:25:06.468679Z
8535f856-7224-4a,1d7c7d47-6643-45,1b7a21f505d84052,upper_echelons,Upper Echelons Theory,10,neutral,positive,False,False,False,2026-06-21T17:25:07.216665Z
66439fb7-98e6-4b,8267195c-4460-4d,1b7a21f505d84052,agency_ceo,Agency Theory (CEO Turnover),10,positive,positive,False,True,False,2026-06-21T17:25:07.216697Z
96f7d61b-e7ee-46,2fc6558d-dad9-43,1b7a21f505d84052,disruption_ceo,Disruption / Instability View (CEO),10,negative,positive,False,False,False,2026-06-21T17:25:07.216715Z
12e65408-b8c3-44,480471f6-e5d1-4a,0c88b7ad3aefb3e1,upper_echelons,Upper Echelons Theory,3,neutral,negative,False,False,False,2026-06-21T17:25:08.007490Z
dc67c8f1-4db1-4f,cea1cc84-328b-4e,0c88b7ad3aefb3e1,agency_ceo,Agency Theory (CEO Turnover),3,positive,negative,False,False,False,2026-06-21T17:25:08.007516Z
045a59a7-d365-4b,538f2c7e-48ee-44,0c88b7ad3aefb3e1,disruption_ceo,Disruption / Instability View (CEO),3,negative,negative,False,True,False,2026-06-21T17:25:08.007531Z
48acd607-38e4-4e,480471f6-e5d1-4a,0c88b7ad3aefb3e1,upper_echelons,Upper Echelons Theory,10,neutral,positive,False,False,False,2026-06-21T17:25:09.250786Z
3f35e0c7-014b-47,cea1cc84-328b-4e,0c88b7ad3aefb3e1,agency_ceo,Agency Theory (CEO Turnover),10,positive,positive,False,True,False,2026-06-21T17:25:09.250814Z
068eb0c4-cffe-46,538f2c7e-48ee-44,0c88b7ad3aefb3e1,disruption_ceo,Disruption / Instability View (CEO),10,negative,positive,False,False,False,2026-06-21T17:25:09.250832Z
31677997-2f59-4c,acea7379-4d78-46,a99949bc3ad44dbf,upper_echelons,Upper Echelons Theory,3,neutral,negative,False,False,False,2026-06-21T17:25:10.696895Z
309ad95d-ba0f-41,625bad63-756d-4a,a99949bc3ad44dbf,agency_ceo,Agency Theory (CEO Turnover),3,neutral,negative,False,False,False,2026-06-21T17:25:10.696910Z
2835c6d0-45f0-40,b73a23e7-fd83-47,a99949bc3ad44dbf,disruption_ceo,Disruption / Instability View (CEO),3,negative,negative,False,True,False,2026-06-21T17:25:10.696922Z
